标题,标题链接,Box-sc-g0xbh4-0
npm,https://npm.nodejs.cn/cli/v10/commands/npm,JavaScript 包管理器
npm access,https://npm.nodejs.cn/cli/v10/commands/npm-access,设置已发布包的访问级别
npm adduser,https://npm.nodejs.cn/cli/v10/commands/npm-adduser,添加注册表用户账户
npm audit,https://npm.nodejs.cn/cli/v10/commands/npm-audit,运行安全审计
npm bugs,https://npm.nodejs.cn/cli/v10/commands/npm-bugs,网络浏览器中的包的错误可能
npm cache,https://npm.nodejs.cn/cli/v10/commands/npm-cache,操纵包缓存
npm ci,https://npm.nodejs.cn/cli/v10/commands/npm-ci,安装一个干净的项目
npm completion,https://npm.nodejs.cn/cli/v10/commands/npm-completion,npm 的制表符补全
npm config,https://npm.nodejs.cn/cli/v10/commands/npm-config,管理 npm 配置文件
npm dedupe,https://npm.nodejs.cn/cli/v10/commands/npm-dedupe,减少重复
npm deprecate,https://npm.nodejs.cn/cli/v10/commands/npm-deprecate,弃用某个版本的包
npm diff,https://npm.nodejs.cn/cli/v10/commands/npm-diff,注册表差异命令
npm dist-tag,https://npm.nodejs.cn/cli/v10/commands/npm-dist-tag,修改包分发标签
npm docs,https://npm.nodejs.cn/cli/v10/commands/npm-docs,Web 浏览器中的包的文档可能
npm doctor,https://npm.nodejs.cn/cli/v10/commands/npm-doctor,检查你的环境
npm edit,https://npm.nodejs.cn/cli/v10/commands/npm-edit,编辑已安装的包
npm exec,https://npm.nodejs.cn/cli/v10/commands/npm-exec,从 npm 包运行命令
npm explain,https://npm.nodejs.cn/cli/v10/commands/npm-explain,解释已安装的包
npm explore,https://npm.nodejs.cn/cli/v10/commands/npm-explore,浏览已安装的包
npm find-dupes,https://npm.nodejs.cn/cli/v10/commands/npm-find-dupes,在包树中查找重复项
npm fund,https://npm.nodejs.cn/cli/v10/commands/npm-fund,检索资金信息
npm help,https://npm.nodejs.cn/cli/v10/commands/npm-help,搜索 npm 帮助文档
npm help-search,https://npm.nodejs.cn/cli/v10/commands/npm-help-search,获取有关 npm 的帮助
npm hook,https://npm.nodejs.cn/cli/v10/commands/npm-hook,管理注册表钩子
npm init,https://npm.nodejs.cn/cli/v10/commands/npm-init,创建一个 package.json 文件
npm install,https://npm.nodejs.cn/cli/v10/commands/npm-install,安装包
npm install-ci-test,https://npm.nodejs.cn/cli/v10/commands/npm-install-ci-test,安装一个干净的项目并运行测试
